variable,type,n,mean,std,median,iqr,min,max,p5,p95,circular_mean_deg,circular_std_deg,resultant_length,period_deg
crown_a,linear,191,90.7951413845738,127.78645401939211,55.19830702762662,10.62040153238349,39.91153422272665,704.5866550509471,44.81654190615734,479.73523714021985,,,,
crown_b,linear,191,40.436463759130554,15.863089846959824,36.307656238168,5.1179526630329235,25.61731870676851,111.44761536168684,30.26879749489251,86.87358559286965,,,,
crown_axis_ratio,linear,191,1.871495131231637,1.2009764873904618,1.5447872942621839,0.4244943210247467,1.09619889355254,7.3380961031649425,1.1967646410328614,5.171306682106717,,,,
crown_eccentricity,linear,191,0.7562460594065,0.11740898579280433,0.7622028006836894,0.14222534621431793,0.40964902241971474,0.9906710296353474,0.5493579749077584,0.9811097959069079,,,,
crown_tilt_deg,axial_circular,191,-4.0325027751857,33.20517051563388,2.689989186393639,28.58437528999528,-88.97997770433133,83.0250064635034,-71.51707599842078,41.23416736064683,1.6887930187686135,31.521653695463655,0.5458862474620165,180.0
lad_a,linear,191,214.97336497999896,168.80267290924107,198.5056031621299,313.77135594455046,14.105552536932342,674.5101977115339,32.34729443828205,480.17724774881924,,,,
lad_b,linear,191,68.98714811169651,44.74781142171899,56.537694638631194,71.5255713559252,1.7403340863650427,192.37614120304875,9.897463588100074,146.36559276486514,,,,
lad_axis_ratio,linear,191,3.0977688979145634,2.0322228810168195,2.9538865965991477,2.1126035197907203,1.0111525677005424,19.814089916336734,1.3495463454284113,5.471403231489412,,,,
lad_eccentricity,linear,191,0.8800334001619265,0.12005957072318522,0.9409530691046163,0.1618294958524834,0.14811302571843202,0.9987256211316552,0.6714931379454182,0.9831536479664069,,,,
lad_tilt_deg,axial_circular,191,-5.463218567334477,50.21847920433563,-10.896365335341898,83.98603440953435,-88.96957270212006,89.9093939333973,-80.12287534480548,75.54781627519363,-28.955470288092638,67.9855303619385,0.05985064139623535,180.0
plane_angle_deg,linear,191,70.39647250082886,15.322652552783198,73.62901429839602,18.754390747883733,14.702948881376615,89.62385788836853,40.61724635394346,88.0758795900255,,,,
bifurcation_crown_theta_deg,directional_circular,191,48.839894958052135,97.5499242305715,94.7957048059274,151.97206937466711,-170.2109746325799,174.01834874150032,-131.2872108577521,150.23416388683046,118.8975481038927,71.14030489742562,0.46263091794208444,360.0
lcx_terminal_theta_deg,directional_circular,191,35.43399994876734,136.61124988367263,102.88585467962041,287.94954860421456,-179.83365518193105,179.55051983009994,-174.19147550575988,170.3981266096876,158.9988293003893,52.279827318632066,0.6594908558672312,360.0
rca_start_theta_deg,directional_circular,189,-14.915254021795928,78.43899946781373,-20.532712570671862,141.085256866976,-167.2623608363019,161.52344588404566,-143.91380378830283,86.19403869935996,-14.22142185674589,89.32636690843628,0.296620530752152,360.0
rca_terminal_theta_deg,directional_circular,189,-31.371875098254893,107.99936225133492,-81.11435389162928,184.32554247069496,-179.9897894636391,178.07036613820395,-168.66201502205135,156.3371312621809,-139.056315480223,98.19771959276397,0.23022890414129987,360.0
bifurcation_lad_theta_deg,directional_circular,191,-7.148914864445312,95.40606545437831,10.540437978759988,70.29894558195893,-178.5421673550637,173.86952018825426,-169.6709160008583,155.5207287810419,23.23572304762877,92.18757099729284,0.27406145227283085,360.0
lad_terminal_theta_deg,directional_circular,191,-19.398848521445256,121.60571629444583,-25.413324981510563,197.3665304119097,-179.65438511323694,176.49534761125528,-176.15356754256038,170.4587039912054,-141.66868822720193,101.16971462883423,0.21036166025535236,360.0
